id,submittedBy,type,category,title,ideaDetail,proposedLink,status,ownerNotes,publishChecked,date
f2090213-0da1-4943-b9b4-1604c46ff080,Assistant Trainer,Content,Motivasi,Kesalahan terbesar banyak orang adalah… berusaha menyenangkan semua orang.,"Inti dari pembahasan ini adalah kita tidak akan pernah bisa menyenangkan semua orang. 
Seberapa baik pun sikap kita, pasti tetap akan ada orang yang menganggap kita baik, dan ada juga yang menilai kita buruk. 
Itu terjadi karena setiap orang melihat dari sudut pandang, pengalaman, dan ekspektasi yang berbeda-beda. 
Kesalahan terbesar banyak orang adalah terlalu sibuk mencari validasi dan berusaha diterima oleh semua orang, 
sampai akhirnya kehilangan diri sendiri dan merasa lelah secara mental. Padahal yang paling penting bukan membuat semua orang suka, 
tetapi tetap menjadi pribadi yang tulus, punya prinsip, dan menjalani hidup sesuai nilai yang kita yakini tanpa harus memaksa semua orang memahami kita.

CTA : 
Menurut kalian, lebih penting jadi diri sendiri atau disukai semua orang?",https://www.tiktok.com/@fariskhaeruman/video/7383864622048087312?q=kesalahan%20terbesar%20berusaha%20menyenangkan%20semua%20orang&t=1780540966276,ACC,Disetujui oleh Owner,Belum,2026-06-04
5de1975a-5acd-4196-af64-6a277bb311da,Assistant Trainer,Content,Motivasi,"""Hook :Banyak anak muda bilang susah cari kerja… padahal kadang yang susah itu menurunkan gengsi.""","Inti dari pembahasan ini adalah banyak anak Gen Z merasa susah mendapatkan pekerjaan lalu langsung menyalahkan keadaan, 
menganggap lowongan kerja sedikit dan kesempatan sudah tidak ada. Padahal faktanya, peluang kerja masih banyak, 
hanya saja kadang banyak yang terlalu memilih pekerjaan berdasarkan gengsi, ingin posisi nyaman sejak awal, 
atau berharap gaji tinggi tanpa mau melalui proses berkembang terlebih dahulu. 
Banyak yang ingin hasil besar, tetapi belum siap memulai dari bawah. ",,ACC,Disetujui oleh Owner,Belum,2026-06-04
ed8f72bc-3c57-447b-9712-ea0933245e04,Assistant Trainer,Content,Motivasi,"""hook : “""Jangan terlalu bangga dengan pencapaianmu, kalau itu masih jauh di bawah potensimu."".”  ""","Banyak orang takut bermimpi besar karena takut gagal.

Akhirnya mereka memilih target yang aman.

Target yang hampir pasti tercapai.

Dan ketika berhasil, mereka merasa puas.

Padahal bisa jadi, itu bukan batas kemampuan mereka.

Itu hanya batas keberanian mereka.

Ingat, kegagalan bukanlah hal yang paling berbahaya.

Yang paling berbahaya adalah ketika kamu menetapkan mimpi yang terlalu rendah... lalu berhasil mencapainya.

Karena keberhasilan itu membuatmu berhenti.

Membuatmu merasa cukup.

Padahal kamu mampu menjadi lebih dari itu.

Closing

Lebih baik gagal saat mengejar sesuatu yang besar, daripada berhasil pada sesuatu yang sebenarnya terlalu kecil untuk potensimu.

CTA

Menurutmu, apakah target yang kamu kejar hari ini benar-benar sesuai dengan potensimu?",https://www.tiktok.com/@aldin_clip/video/7582205530438159634?q=kesalahan%20terbesar%20mimpi%20&t=1780541178038,ACC,Disetujui oleh Owner,Belum,2026-06-04
76026354-a378-4e58-bde0-ed2c8b850757,Assistant Trainer,Content,Motivasi,kebahagiaan hidupmu tergantung pada kualitas pikiranmu,"membahas bahwa kebahagiaan tidak selalu ditentukan oleh keadaan di luar diri, tetapi oleh cara seseorang memandang dan merespons keadaan tersebut. Dua orang bisa menghadapi masalah yang sama, namun memiliki tingkat kebahagiaan yang berbeda karena kualitas pola pikir yang berbeda. Konten mengajak audiens untuk lebih menjaga isi pikiran, fokus pada hal yang bisa dikendalikan, dan tidak membiarkan keadaan eksternal menguasai ketenangan hidup mereka. Pesan utamanya adalah bahwa kualitas hidup sering kali merupakan cerminan dari kualitas pikiran yang kita pelihara setiap hari.",,ACC,Disetujui oleh Owner,Belum,2026-06-04
f644b6c8-b0de-4230-8f68-d1e72e7038d1,Assistant Trainer,Content,Motivasi,4 kata yang menghancurkan lebih banyak mimpi daripada kegagalan itu sendiri: 'What will people say?,"ketakutan terhadap pendapat orang lain sering menjadi penghambat terbesar kesuksesan seseorang. Banyak orang sebenarnya memiliki kemampuan, ide, dan peluang untuk berkembang, tetapi memilih menahan diri karena terlalu memikirkan komentar, kritik, atau penilaian dari lingkungan sekitar. Padahal, orang yang sukses bukanlah mereka yang tidak pernah dikritik, melainkan mereka yang tetap melangkah meskipun ada kemungkinan dinilai oleh orang lain. Konten ini mengajak audiens untuk lebih fokus pada tujuan hidupnya daripada terlalu sibuk mencari persetujuan dari semua orang.",https://www.tiktok.com/@harapancore.id/video/7436217250052443400?q=deddi%20corbuzier&t=1780544576802,ACC,Disetujui oleh Owner,Belum,2026-06-04
a41fc7e1-1c30-4e69-a1b3-57f4d484cc2c,Content Creative,Content,Text Edukasi,5 Alasan Orang Biasa Bisa Mengalahkan Mahasiswa Cumlaude,"Dulu banyak orang berpikir bahwa IPK tinggi adalah jaminan sukses. 
Padahal di dunia kerja, ada faktor lain yang sering lebih menentukan.

Ini  5 alasan kenapa mahasiswa biasa bisa mengalahkan mahasiswa cumlaude

1. Lebih berani mengambil kesempatan
Banyak orang berkembang bukan karena paling pintar, tetapi karena berani mencoba hal baru meski belum merasa siap. 
Kesempatan sering datang kepada mereka yang bergerak, bukan yang menunggu sempurna.

2. Lebih aktif membangun relasi
Karier adalah kombinasi antara kompetensi dan koneksi. 
Relasi yang baik membuka akses pada informasi, peluang, dan pengalaman yang mungkin tidak ditemukan di ruang kelas.

3. Lebih cepat belajar dari kesalahan
Orang yang takut salah cenderung lambat berkembang. 
Sebaliknya, mereka yang mampu mengevaluasi kesalahan dan memperbaikinya biasanya memiliki kurva belajar yang lebih cepat.

4. Lebih mudah beradaptasi
Dunia kerja berubah sangat cepat. 
Kemampuan menyesuaikan diri dengan teknologi, sistem, dan lingkungan baru sering kali lebih berharga daripada sekadar menguasai teori.

5. Tidak menunggu sempurna untuk mulai
Banyak peluang hilang karena terlalu banyak berpikir. 
Orang yang mau memulai, belajar sambil jalan, dan terus memperbaiki diri biasanya memiliki pengalaman lebih banyak dibanding mereka yang hanya mempersiapkan diri",,ACC,Disetujui oleh Owner,Belum,2026-06-04
d443dd92-24e3-4cf9-8491-7df30330237b,Content Creative,Content,Text Edukasi,4 Kebohongan Karier yang Terlalu Sering Dipercaya Mahasiswa,"Banyak mahasiswa menganggap bahwa berkarir itu sesederhana belajar rajin, nilai bagus, lalu sukses. Padahal dunia karier tidak sesederhana itu.

Ini dia 4 kebohongan karier yang terlalu sering dipercaya mahasiswa

1. Kerja keras pasti dihargai
Kerja keras itu penting, tapi kalau hasil dan dampaknya tidak terlihat, orang lain belum tentu menyadarinya. 
Selain bekerja dengan baik, kamu juga perlu mampu mengomunikasikan kontribusimu.

2. Orang pintar pasti sukses
Kepintaran memang membantu, tetapi kesuksesan karier juga dipengaruhi kemampuan beradaptasi, bekerja sama, berkomunikasi, dan menyelesaikan masalah. Dunia kerja adalah permainan tim, bukan ujian individu.

3. Networking itu cari muka
Networking bukan menjilat atau mencari keuntungan pribadi. 
Networking adalah membangun hubungan profesional yang sehat, saling belajar, dan saling membantu. 
Banyak peluang karier lahir dari hubungan yang dibangun jauh sebelum peluang itu muncul.

4. Kesempatan datang kepada yang sabar menunggu
Realitanya, kesempatan lebih sering datang kepada mereka yang aktif mencari, mencoba, dan memperkenalkan diri. 
Menunggu memang nyaman, tetapi bertindaklah yang membuat peluang menemukanmu.",,ACC,Disetujui oleh Owner,Belum,2026-06-04
e22686c8-4f2c-4b56-8ba1-4a985fbb920a,Digital Marketing & IT,Content,Carousel,Promosi Soft Selling ,"TRAINING: INVESTASI ATAU FORMALITAS?

Poin Pendukung : Banyak training selesai, peserta hadir, tetapi implementasi minim. Jadi masalahnya ada pada training atau metodenya? 

Bagian Promosi (inti soft selling):
Kenapa harus memilih Hafara Group ? 
- Metode interaktif & aplikatif
- Didampingi trainer berpengalaman
- Fokus pada implementasi, bukan hanya teori
- Materi disesuaikan dengan kebutuhan peserta

CTA (Footer Poster):
KOnsultasi Sekarang  📩",,ACC,Disetujui oleh Owner,Belum,2026-06-04
a5375e40-98b4-499a-8dce-03941051a460,Assistant Trainer,Content,Motivasi,Jangan jadi orang yang selalu result oriented.,"Hook

Jangan jadi orang yang selalu result oriented.

Isi (Pembahasan)

Banyak orang ingin tahu hasilnya sebelum memulai. Ingin tahu apakah akan berhasil, apakah akan disukai, apakah akan mendapatkan keuntungan, atau apakah akan gagal.
Padahal tidak semua hal dalam hidup datang dengan kepastian. Terkadang, satu-satunya cara untuk mengetahui hasilnya adalah dengan berani memulai dan menjalani prosesnya.Jangan terlalu sibuk memikirkan hasil yang belum tentu terjadi, sampai lupa mengambil langkah yang bisa dilakukan hari ini.

CTA

Pernah nggak kamu menunda sesuatu karena terlalu memikirkan hasil akhirnya? Ceritakan di kolom komentar. 👇",https://vt.tiktok.com/ZSQdaRT1P/,ACC,Disetujui oleh Owner,Belum,2026-06-05
9ae1171d-bf5d-4cf8-a87c-0088b4b7d67f,Assistant Trainer,Content,Motivasi,"""Hal terpenting yang harus kamu kumpulkan di usia 20–25 tahun bukan uang, tapi pengalaman.""","Hook

""Hal terpenting yang harus kamu kumpulkan di usia 20–25 tahun bukan uang, tapi pengalaman.""

Isi 
Di usia 20–25 tahun, hal terpenting yang perlu kamu kumpulkan bukan hanya uang atau jabatan, tetapi pengalaman. Kamu bisa mendapatkan pengalaman dari mana saja. Bekerja dengan orang lain, menjadi freelancer, membangun usaha, mencoba hal baru, atau bahkan dari kegagalan yang pernah kamu alami.

Sayangnya, banyak anak muda terlalu terburu-buru ingin mencapai sesuatu karena terpengaruh standar sosial. Melihat teman sudah sukses, punya jabatan, atau memiliki pencapaian tertentu membuat mereka merasa tertinggal.

Padahal setiap orang memiliki perjalanan dan waktunya masing-masing.

Jangan biarkan dirimu terburu-buru hanya karena ingin mengikuti timeline orang lain. Fokuslah membangun pengalaman, karena pengalaman yang kamu kumpulkan hari ini akan menjadi bekal yang sangat berharga untuk masa depan.

CTA

Menurutmu, pengalaman paling berharga yang kamu dapatkan di usia 20-an sejauh ini apa? Tulis di komentar. 👇

#aqilbaihaqi #hafara #motivasi #mindset #genz #karier #pengembangandiri #selfimprovement #anakmuda #pengalamanhidup",https://vt.tiktok.com/ZSQdus9TA/A,ACC,Disetujui oleh Owner,Belum,2026-06-05
3241e1bb-66e1-4b93-acee-accf5868c9ff,Assistant Trainer,Content,Motivasi,hook : gen z itu paling pinter soal informasi tapi paling payah soal eksekusi,"Gen Z adalah generasi yang tumbuh dengan akses informasi tanpa batas. Hampir semua hal bisa dipelajari hanya lewat layar handphone. Mulai dari bisnis, investasi, public speaking, content creation, hingga pengembangan diri.

Namun sayangnya, banyak yang terjebak pada fase belajar tanpa henti. Terlalu banyak menonton, terlalu banyak menyimpan, terlalu banyak merencanakan, tetapi terlalu sedikit melakukan.

Merasa produktif karena mengonsumsi banyak informasi, padahal belum ada tindakan yang benar-benar dijalankan.

Padahal yang mengubah hidup bukanlah seberapa banyak informasi yang kita miliki, melainkan seberapa berani kita mengeksekusi apa yang sudah kita ketahui.

Di era sekarang, informasi bukan lagi keunggulan. Eksekusilah yang menjadi pembeda. 🔥

CTA

Kalau jujur, kamu lebih sering menghabiskan waktu untuk belajar atau untuk mengeksekusi apa yang sudah kamu pelajari? 👇",https://vt.tiktok.com/ZSQdHNpj7/,ACC,ganti aja,Belum,2026-06-05
746dabbd-5bb6-43bf-af0b-3570b9c108a8,Assistant Trainer,Content,Motivasi,Mini podcast 1 pertanyaan ,"Ada nggak pengalaman yang waktu itu terasa menyakitkan, tapi ternyata justru menjadi titik balik hidup Pak Aqil?",,ACC,Disetujui oleh Owner,Belum,2026-06-05
39a6835d-8215-4371-a18b-d498efcbc2da,Content Creative,Content,Collab,secepat apa customer service hafara merespon chat klien,ade naik sepeda motor terus berhenti ditengah jalan buat bales chat klien,https://www.instagram.com/reel/DXGzWNqBFEP/?igsh=MTR2bGk4cGxvNzlkaQ==,ACC,Disetujui oleh Owner,Belum,2026-06-05
5bed6758-d942-4413-835c-7295fbca69bb,Content Creative,Content,Collab,"dia nanyain akun instagramku, jadi aku kasih instagram hafaragroup aja, karena aku butuh klien bukan pacar","istiana lagi belanja disamperin orang yang minta ignya, tapi dikasih tunjuk ig hafara lewat hp ",https://www.instagram.com/reel/DXhGss4grMr/?igsh=MTAwdGxscTZkbHgxYg==,ACC,Disetujui oleh Owner,Belum,2026-06-05
764d4033-3b96-44a0-8b53-fae58a608435,Content Creative,Content,Motivasi,pov : temen kamu yang karyawan biasa itu masih kerja di jam pulang,"badar masih kerja didepan laptop, isti cinta ade dibelakang badar udah pake helm dan jaket siap pulang",https://www.instagram.com/reel/DVTCMuIEVAG/?igsh=cW8xNTdlOW9pNmk=,ACC,Disetujui oleh Owner,Belum,2026-06-05
2fc1861f-cae5-438a-9093-2dbdabfe01a3,Content Creative,Content,Text Edukasi,"4 Tanda Kamu Siap Kerja, Meski Belum Punya Pengalaman","Banyak mahasiswa merasa belum siap kerja karena belum punya pengalaman banyak.
Padahal, siap kerja gak selalu soal berapa kali magang atau berapa banyak sertifikat yang kamu punya.

Kalau kamu punya 5 hal ini, kemungkinan besar kamu sudah lebih siap kerja daripada yang kamu kira.

1. Kamu bisa belajar tanpa disuruh
Ini tanda yang sering diremehkan. Di dunia kerja, tugas dan tantangan baru akan terus muncul. 
Kalau kamu terbiasa mencari tahu, belajar sendiri, dan tidak selalu menunggu arahan, 
itu artinya kamu udah punya kemampuan beradptasi di dunia pekerjaan. 

2. Kamu berani bertanya kalau gak tahu
Percaya atau tidak, banyak masalah di tempat kerja terjadi karena orang pura-pura paham. 
Orang yang siap kerja tahu kapan harus bertanya. 

3. Kamu mau mengakui kesalahan
Saat salah, apakah kamu mencari alasan atau mencari solusi? 
Kalau kamu lebih fokus memperbaiki keadaan daripada menyalahkan situasi, itu tanda bahwa kamu sudah punya mentalitas profesional.
Dunia kerja bukan mencari orang yang selalu benar. Dunia kerja mencari orang yang bisa dipercaya. 

4. Kamu bisa kerja bareng berbagai tipe orang
Kalau kamu bisa tetap profesional meskipun bekerja dengan orang yang berbeda cara pikir, berbeda kebiasaan, 
atau berbeda gaya komunikasi, itu tanda bahwa kamu siap menghadapi realitas kerja yang sesungguhnya.

5. Kamu bisa menerima feedback
Orang yang siap kerja paham bahwa feedback bukan serangan, tapi bahan bakar untuk berkembang. 
Semakin terbuka kamu menerima masukan, semakin cepat kemampuanmu bertumbuh dibanding orang yang selalu merasa paling benar.

Jadi kalau kamu punya kelima hal ini, jangan terlalu cepat menganggap dirimu belum siap kerja.

Mungkin yang kurang hanya rasa percaya dirimu.

Share ke temanmu yang masih sering bilang, ""Aku belum siap masuk dunia kerja.""
",,ACC,Disetujui oleh Owner,Belum,2026-06-05
e06d0bc2-2d7d-46f1-90f7-60f4c81ed61b,Content Creative,Content,Text Edukasi,5 Hal yang Wajib Kamu Lakukan Sebelum Wisuda,"Banyak mahasiswa mengira setelah wisuda yang paling penting adalah ijazah. 
Padahal di dunia kerja, ada aset lain yang sering kali lebih menentukan seberapa cepat kamu berkembang.

Ini 5 hal yang wajib kamu miliki sebelum wisuda, biar gak cuma punya ijazah doang
1. Portofolio
Perusahaan nggak cuma mau tahu kamu belajar apa, tapi juga pernah ngapain. 
Pernah bikin proyek, ikut lomba, organisasi, magang, atau freelance? Dokumentasikan. Itu bisa jadi nilai jualmu.

2. Networking
Nggak sedikit orang dapat kesempatan kerja karena kenal orang yang tepat. 
Networking bukan cari muka, tapi memperluas pertemanan dan koneksi profesional.
Ingat! Banyak peluang kerja tidak datang dari job portal, tetapi dari rekomendasi dan relasi.

3. Skill Komunikasi
Pintar aja nggak cukup. Kamu perlu bisa menyampaikan ide, bertanya dengan baik, dan ngobrol dengan berbagai tipe orang. 
Ini skill yang kepakai di hampir semua pekerjaan.

4. Personal Branding
Kalau orang lain disuruh mendeskripsikan kamu, kira-kira mereka akan bilang apa?
Personal branding adalah kesan yang kamu tinggalkan. Mulai tunjukkan minat, kemampuan, dan hal yang kamu kuasai.
Stop jadi sok misterius, mulailah dari hal sederhana, seperti LinkedIn.

5. Digital Skill
Sekarang hampir semua pekerjaan pakai teknologi.
Nggak harus jago coding atau jadi programmer, tapi minimal paham AI, Excel, Canva, Google Workspace, atau tools kerja lainnya.

Karena setelah wisuda, kamu akan bertemu ribuan orang yang punya ijazah yang sama.

Yang membedakan adalah apa yang sudah kamu bangun selama kuliah.

Share ke teman tingkat akhir yang masih berpikir wisuda adalah garis finish. ",,ACC,,Belum,2026-06-05
2d0ab681-6da8-4ae2-b8b3-f74dddb6b285,Content Creative,Content,Motivasi,pov. perang dunia tidak akan menghalangi cs untuk melayani customer,ade lagi sibuk balesin chat cust sambil dikasih background perang dunia,https://www.instagram.com/reel/DWjEIdPkkDV/?igsh=MXNra3JwcGJhM2lybA==,ACC,,Belum,2026-06-08
866fc5d7-e646-4a93-9c16-aba3a09de222,Content Creative,Content,Motivasi,pov. ketika semua hasil kerjaan harus acc bos dulu,"masing-masing shoot habis kelar ngerjain jobdesk langsung ke pak aqil buat minta acc sambil bawa laptop, di akhir pak aqil kuwalahan buat acc karena semua minta bebarengan",https://www.instagram.com/reel/DZSRsxIPJiM/?igsh=OXRjemJwM3h5ZjVu,ACC,Disetujui oleh Owner,Belum,2026-06-08
9dea6f22-054e-4028-9ea7-f1001db0927a,Content Creative,Content,Motivasi,kondisi habis setor revisi konten,"kami ber 4 lega sambil ketawa-ketawa habis setor revisi konten lewat chat dengan ditampilkan screenshoot chatnya, lalu tiba-tiba bos mengetik yang artinya ada revisi lagi jadi kita ber 4 berhenti ketawa sambil bengong",https://www.instagram.com/reel/DX_NDSMJ0iV/?igsh=NnZueGNlbnBzemY=,ACC,,Belum,2026-06-08
23cbb9d1-3d91-4fa5-ba1a-83b3e247ddd4,Assistant Trainer,Content,Motivasi,Pemimpin yang 3 AH,"Deskripsi

1. Pemimpin yang sukanya memerintah doang.

Menyuruh ini itu memang mudah. Tapi seorang pemimpin seharusnya tidak hanya memberi perintah, melainkan juga memberi arahan, dukungan, dan contoh yang baik bagi timnya.

2. Pemimpin yang sedikit-sedikit marah.

Tegas itu perlu, tapi terlalu mudah marah justru membuat tim bekerja karena takut, bukan karena semangat. Akibatnya, anggota tim jadi enggan berpendapat dan takut melakukan kesalahan.

3. Pemimpin yang sering bilang, ""Ah...""

""Ah, gitu aja nggak bisa?""
""Ah, masa begitu aja harus diajarin?""
""Ah, alasan aja.""

Kalimat-kalimat seperti ini mungkin terdengar sepele, tetapi bisa membuat tim merasa tidak dihargai dan kehilangan kepercayaan diri untuk berkembang.

Pemimpin yang baik bukan yang paling ditakuti, tetapi yang mampu membuat timnya bertumbuh, berani belajar, dan nyaman untuk memberikan yang terbaik.

CTA

Menurut kamu, dari ketiga tipe pemimpin di atas, mana yang paling sering kamu temui? 👇

#kepemimpinan #leadership #genz #duniakerja #motivasi #aqilbaihaqi #hafara #selfimprovement #manajemen #pengembangandiri",,ACC,Disetujui oleh Owner,Belum,2026-06-08
